index,block_type,block,layer_name,ks_h,ks_w,ks_if,ks_of,if_h,if_w,if_ch,of_h,of_w,of_ch,stride,pad_l,pad_r,pad_h,pad_b,input_layer,ops,params,row_size(index),ks_row_size(index),wt(4index),(ps)conv,(ps)mean,pl(conv),pl(dconv)
143,,blk25,blk25_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
144,,,blk25_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
145,,,blk25_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
146,,,blk25_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
147,,,blk25_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,144,8355840,132192,0,0,0,365568,0,0,0
148,,,blk25_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,142,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
149,,blk26,blk26_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
150,,,blk26_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
151,,,blk26_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
152,,,blk26_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
153,,,blk26_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,150,8355840,132192,0,0,0,365568,0,0,0
154,,,blk26_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,148,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
155,,blk27,blk27_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
156,,,blk27_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
157,,,blk27_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
158,,,blk27_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
159,,,blk27_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,156,8355840,132192,0,0,0,365568,0,0,0
160,,,blk27_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,154,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
161,,blk28,blk28_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
162,,,blk28_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
163,,,blk28_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
164,,,blk28_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
165,,,blk28_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,162,8355840,132192,0,0,0,365568,0,0,0
166,,,blk28_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,160,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
167,,blk29,blk29_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
168,,,blk29_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
169,,,blk29_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
170,,,blk29_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
171,,,blk29_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,168,8355840,132192,0,0,0,365568,0,0,0
172,,,blk29_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,166,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
173,,blk30,blk30_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
174,,,blk30_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
175,,,blk30_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
176,,,blk30_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
177,,,blk30_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,174,8355840,132192,0,0,0,365568,0,0,0
178,,,blk30_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,172,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
179,8,blk31,blk31_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
180,,,blk31_depconv2_3s1_sm,3,3,1632,1,8,8,1632,8,8,1632,1,1,1,1,1,,940032,16320,0.19921875,0.59765625,0.056030273,0,0,940032,0
181,,,blk31_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
182,,,blk31_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
183,,,blk31_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,180,8355840,132192,0,0,0,365568,0,0,0
184,,,blk31_conv5_1s1,1,1,1632,480,8,8,1632,8,8,480,1,,,,,,46792704,731584,0.19921875,0.19921875,2.7890625,0,0,0,46792704
185,4,blk32,blk32_conv1_1s1_sm,1,1,480,2688,8,8,480,8,8,2688,1,,,,,,77070336,1206912,0.0546875,0.0546875,4.59375,0,0,0,77070336
186,,,blk32_depconv2_3s1_sm,3,3,2688,1,8,8,2688,8,8,2688,1,1,1,1,1,,1548288,26880,0.328125,0.984375,0.092285156,0,0,1548288,0
